书名,原书名,作者,翻译,出版社,丛书,出版日期,ISBN,页数,定价,标签,阅读状态,豆瓣评分,豆瓣评论人数,豆瓣地址
时间管理: 如何充分利用你的24小时, The Skinng on Time Management:How to Maximize your 24-hour Gift,[美] 吉姆·兰德尔 , 舒建广 , 上海交通大学出版社,简单有趣的个人管理丛书, 2012-1-1,9787313076571,215, 20.00元, 自我管理 吉姆·兰德尔 效率,已读,7.4,4210,https://book.douban.com/subject/7001106/
软件调试的艺术: Linux/Unix平台软件调试权威著作, The Art of Debugging with GDB. DDD. and Eclipse,Norman Matloff、Peter Jay Salzman , 张云 , 人民邮电出版社,, 2009-11,9787115213969,216, 39.00元, debug Linux gdb C/C++,已读,7.7,176,https://book.douban.com/subject/4111413/
毅力: 如何培养自律的习惯,,吉姆·兰德尔(Jim Randel) , 舒建广 , 上海交大,简单有趣的个人管理丛书, 2012-1-1,9787313077219,233, 25.00元, 心理学 个人管理 自我管理 毅力 意志力,已读,7.3,1099,https://book.douban.com/subject/7001105/
八卦艺术史,,祺四 , 海峡出版发行集团, 海峡出版发行集团/鹭江出版社,, 2014-12-1,9787545908381,312, 39.80元,,已读,6.6,2286,https://book.douban.com/subject/26236437/
相约星期二, Tuesdays with Morrie,[美] 米奇·阿尔博姆 , 吴洪 , 上海译文出版社,米奇·阿尔博姆作品, 2007-7,9787532742707,196, 19.00元, 心灵哲学,已读,8.4,21985,https://book.douban.com/subject/2194123/
枪炮、病菌与钢铁: 人类社会的命运（修订版）, Guns. Germs. and Steel: The Fates of Human Societies,贾雷德·戴蒙德 , 谢延光 , 上海译文出版社,睿文馆, 2014-8,9787532765393,493,68,,已读,8.8,1809,https://book.douban.com/subject/25902448/
读书年代: 带上所有的书回巴黎, Bouquiner,(法)安妮·弗朗索瓦 , 俞佳乐 , 广西师范大学出版社,理想国·书之书, 2013-9,9787549536641,240, 34.00元,,已读,7.6,1373,https://book.douban.com/subject/24380058/
Windows核心编程(第5版): 微软技术丛书,,Jeffrey Richter、Christophe Nasarre , 葛子昂、周靖、廖敏 , 清华大学出版社,, 2008-9,9787302184003,770, 99.00元,,已读,9.2,432,https://book.douban.com/subject/3235659/
C++ Primer 中文版（第 4 版）, C++ Primer. 4th Edition,Stanley B.Lippman、Josée LaJoie、Barbara E.Moo , 李师贤、蒋爱军、梅晓勇、林瑛 , 人民邮电出版社,图灵程序设计丛书,2006,9787115145543,745, 99.00元,,已读,9.2,4242,https://book.douban.com/subject/1767741/
WPF编程宝典, Pro WPF in C# 2010,麦克唐纳 , 王德才 , 清华大学出版社,, 2011-6,9787302252696,918, 118.00元,,已读,7.7,24,https://book.douban.com/subject/6713895/
程序员的自我修养: 链接、装载与库,,俞甲子、石凡、潘爱民 ,, 电子工业出版社,, 2009-4,9787121085116,459,65,,已读,8.8,2215,https://book.douban.com/subject/3652388/
C++沉思录, Ruminations on C++: A Decade of Programming Insight and Experience,Andrew Koenig、Barbara Moo , 黄晓春、孟岩(审校) , 人民邮电出版社,C和C++经典著作, 2008-1,9787115171788,386, 55.00元,,已读,8.6,271,https://book.douban.com/subject/2970056/
代码大全（第2版）, Code Complete,[美] 史蒂夫·迈克康奈尔 , 金戈、汤凌、陈硕、张菲 译、裘宗燕 审校 , 电子工业出版社,传世经典书丛, 2006-3,9787121022982,944, 128.00元,,已读,9.3,3696,https://book.douban.com/subject/1477390/
深入浅出MFC （第二版）: 使用Visual C++5.0 &amp; MFC 4.2,,侯俊杰 ,, 华中科技大学出版社,, 2001-1,9787900614933,701, 80.00元, 相当不错 MFC C++,已读,8.9,526,https://book.douban.com/subject/1094852/
ACE技术内幕: 深入解析ACE架构设计与实现原理,,潘荣 ,, 机械工业出版社华章公司,, 2012-7-30,9787111388241,348, 69.00元, C++ 网络编程 设计模式 框架设计 网络通信,已读, ,,https://book.douban.com/subject/11225597/
