书名,原书名,作者,翻译,出版社,丛书,出版日期,ISBN,页数,定价,标签,阅读状态,豆瓣评分,豆瓣评论人数,豆瓣地址
古代中国的历史与文化,,劳榦 ,, 中华书局,, 2006-12,9787101053401,693, 88.00元, 文化 中国 古代史 劳榦 历史,想读,9.3,60,https://book.douban.com/subject/1961624/
UNIX/Linux 系统管理技术手册,,Evi Nemeth、Garth Snyder、Trent R. Hein、Ben Whaley , 张辉 , 人民邮电出版社,, 2012-6,9787115279002,965, 128.00元, Linux/Unix 系统管理 运维 操作系统,想读,9.2,88,https://book.douban.com/subject/10747453/
分布式系统: 概念与设计（原书第5版）, Distributed Systems: Concepts and Design， Fifth Edition,（英）George Coulouris、Jean Dollimore、Tim Kindberg、Gordon Blair , 金蓓弘、马应龙 , 机械工业出版社,计算机科学丛书, 2013-3,9787111403920,638, 128.00元, 软件工程 分布式,想读,8.3,41,https://book.douban.com/subject/21624776/
《春秋》与“汉道”: 两汉政治与政治文化研究,,陈苏镇 ,, 中华书局,北京大学中国古代史研究中心丛刊, 2011-9-1,9787101080186,618, 88.00元, 中国 历史 社会学 政治学,想读,9,357,https://book.douban.com/subject/6854982/
中国古代的社会与国家, 中国古代の社会と国家,(日) 增渊龙夫 , 吕静 , 上海古籍出版社,日本中国史研究译丛, 2017-9-1,9787532585038,429, CNY 88.00, 历史 中国 日本汉学,想读,9.1,89,https://book.douban.com/subject/27079193/
西汉侯国地理,,马孟龙 ,, 上海古籍出版社,中古中国知识·信仰·制度研究书系, 2013-11,9787532567843,556,88, 历史地理学 中国,想读,8.8,51,https://book.douban.com/subject/25758929/
Linux/UNIX系统编程手册, The Linux Programming Interface: A Linux and UNIX System Programming Handbook,Michael Kerrisk , 孙剑 许从年 董健、孙余强 郭光伟 陈舸 , 人民邮电出版社,, 2014-1,9787115328670,1176,158, 计算机 Linux/Unix 程序设计 经典之作,想读,9.3,186,https://book.douban.com/subject/25809330/
驯化: 十个物种造就了今天的世界, Tamed:Ten Species that Changed Our World,【英】艾丽丝·罗伯茨 , 李文涛 , 读者出版社,, 2019-5,9787552705584,384,79, 进化论 人类学 生物 科普 文化 社科,想读,7.8,154,https://book.douban.com/subject/30447356/
学术训练与学术规范: 中国古代史研究入门,,荣新江 ,, 北京大学出版社,历史学研究入门丛书, 2011-4-1,9787301186657,261, 30.00元, 中古史 入门 历史 荣新江 方法论 学术训练 历史学,想读,8.9,1297,https://book.douban.com/subject/6313277/
隋唐帝国形成史论, 隋唐帝国形成史論,谷川道雄 , 李济沧 , 上海古籍出版社,日本中国史研究译丛, 2011-6-1,9787532558995,362, 58.00元, 谷川道雄 历史 隋唐史 日本,想读,8.6,262,https://book.douban.com/subject/6510253/
